,Group 4 pumps to Amiad Filter,Group 4 pumps to Amiad Filter,Group 4 pumps to Amiad Filter,Group 4 pumps to Scale Pit,Group 4 pumps to Scale Pit,Group 4 pumps to Scale Pit,Make up line valve to cold well,Make up line valve to cold well,Make up line valve to cold well,VT Pump to cooling tower,VT Pump to cooling tower,VT Pump to cooling tower,PPF Pit to cold well,PPF Pit to cold well,PPF Pit to cold well
,IR,FR,Consumption,IR,FR,Consumption,IR,FR,Consumption,IR,FR,Consumption,IR,FR,Consumption
2024-05-01,26222000.0,32667000.0,6445.0,25687000.0,32017000.0,6330.0,16694000.0,22397000.0,5703.0,24131000.0,26209000.0,2078.0,15574000.0,25348000.0,9774.0
2024-05-02,25831000.0,28748000.0,2917.0,25199000.0,25637000.0,438.0,16598000.0,20934000.0,4336.0,24682000.0,29089000.0,4407.0,15873000.0,18311000.0,2438.0
2024-05-03,24915000.0,30660000.0,5745.0,25663000.0,30585000.0,4922.0,16851000.0,20502000.0,3651.0,24151000.0,26757000.0,2606.0,15842000.0,21922000.0,6080.0
2024-05-04,25657000.0,34229000.0,8572.0,25736000.0,29399000.0,3663.0,16783000.0,17096000.0,313.0,23723000.0,28418000.0,4695.0,15534000.0,23546000.0,8012.0
2024-05-05,26287000.0,28948000.0,2661.0,26698000.0,28981000.0,2283.0,16454000.0,19597000.0,3143.0,23873000.0,33857000.0,9984.0,15846000.0,18603000.0,2757.0
2024-05-06,26089000.0,32432000.0,6343.0,26321000.0,26668000.0,347.0,16794000.0,18838000.0,2044.0,23129000.0,32348000.0,9219.0,15564000.0,22946000.0,7382.0
2024-05-07,26361000.0,28480000.0,2119.0,25224000.0,34854000.0,9630.0,16705000.0,23655000.0,6950.0,24096000.0,26783000.0,2687.0,15478000.0,16350000.0,872.0
2024-05-08,25593000.0,27767000.0,2174.0,25617000.0,30113000.0,4496.0,17000000.0,25889000.0,8889.0,23988000.0,29158000.0,5170.0,15805000.0,18892000.0,3087.0
2024-05-09,26268000.0,28505000.0,2237.0,25891000.0,30628000.0,4737.0,16576000.0,23936000.0,7360.0,24174000.0,32060000.0,7886.0,15136000.0,17516000.0,2380.0
2024-05-10,25935000.0,32723000.0,6788.0,25240000.0,30456000.0,5216.0,16860000.0,26793000.0,9933.0,24127000.0,28294000.0,4167.0,15971000.0,22299000.0,6328.0
2024-05-11,27269000.0,32240000.0,4971.0,25963000.0,30075000.0,4112.0,16632000.0,22156000.0,5524.0,23760000.0,27872000.0,4112.0,15352000.0,18186000.0,2834.0
2024-05-12,26332000.0,33232000.0,6900.0,26076000.0,33653000.0,7577.0,16667000.0,20001000.0,3334.0,24037000.0,30689000.0,6652.0,15311000.0,17337000.0,2026.0
2024-05-13,25567000.0,30071000.0,4504.0,26631000.0,26825000.0,194.0,16951000.0,19933000.0,2982.0,24446000.0,27512000.0,3066.0,15541000.0,20543000.0,5002.0
2024-05-14,26313000.0,30766000.0,4453.0,25491000.0,31787000.0,6296.0,17014000.0,22855000.0,5841.0,23654000.0,29397000.0,5743.0,15452000.0,22413000.0,6961.0
2024-05-15,26000000.0,27769000.0,1769.0,25868000.0,32750000.0,6882.0,16801000.0,19095000.0,2294.0,24483000.0,25204000.0,721.0,15466000.0,18890000.0,3424.0
2024-05-16,25364000.0,33958000.0,8594.0,26541000.0,29245000.0,2704.0,17131000.0,22782000.0,5651.0,22910000.0,27331000.0,4421.0,15691000.0,22190000.0,6499.0
2024-05-17,26247000.0,29928000.0,3681.0,25852000.0,30429000.0,4577.0,16682000.0,22695000.0,6013.0,23904000.0,28799000.0,4895.0,15727000.0,22705000.0,6978.0
2024-05-18,26033000.0,33927000.0,7894.0,25702000.0,35448000.0,9746.0,16622000.0,23239000.0,6617.0,24126000.0,30041000.0,5915.0,15798000.0,18039000.0,2241.0
2024-05-19,26123000.0,31018000.0,4895.0,26129000.0,32384000.0,6255.0,17078000.0,26671000.0,9593.0,24090000.0,32455000.0,8365.0,15283000.0,20421000.0,5138.0
2024-05-20,25896000.0,35499000.0,9603.0,25787000.0,31423000.0,5636.0,16804000.0,18551000.0,1747.0,24169000.0,29689000.0,5520.0,15846000.0,18125000.0,2279.0
2024-05-21,25939000.0,31975000.0,6036.0,26487000.0,32575000.0,6088.0,16948000.0,19889000.0,2941.0,24533000.0,25416000.0,883.0,15987000.0,22224000.0,6237.0
